tle_0	tle_1	norad_cat_num	status
1 00317U 61015 CT 80366.69668160  .01300371 +00000-0 +15938-1 0  9991	2 00317 066.3793 235.3116 0017066 225.0057 135.7388 15.55656729020478	n_00317	
1 00319U 61015 CV 81204.36310725  .18930370 +30400-4 +54881-2 0  9998	2 00319 066.7605 209.9153 0010609 226.8753 134.7486 16.26915889053751	n_00319	
1 00326U 61015 DC 79273.96476891  .02546687 +00000-0 +07459-3 0  9998	2 00326 066.9265 012.9883 0034084 291.0926 068.6546 15.80673122974769	n_00326	
1 00331U 61015 DH 89080.38583255  .05855171 +00000-0 +50876-1 0  9993	2 00331 066.9319 181.9629 0030336 337.4707 023.6193 15.52652700421470	n_00331	
1 00356U 61015 DW 81031.45086654 -.81817579 +61626-1 +52636-1 0  9990	2 00356 066.9553 305.3894 0010256 172.9302 187.2804 15.99069767006443	n_00356	
1 00366U 62037  B 62226.28909539  .07108633 +00000-0 +00000-0 0  9994	2 00366 064.9600 111.4636 0031800 091.4693 023.3561 16.45047839000320	n_00366	
1 00370U 62039  B 80060.41289014  .02567630 +11816-1 +39510-2 0  9990	2 00370 098.5288 215.8465 0017484 298.0337 061.9154 16.07839522947660	n_00370	
1 00378U 62039  C 92224.28133164  .04231154 +54000-5 +18350-2 0  9998	2 00378 098.3792 147.1225 0014377 110.6963 251.4390 16.22340207585917	n_00378	
1 00388U 62039D   99122.81552244  .58892672  38115-5  70077-3 0  9997	2 00388 098.5159 338.2524 0006209 236.0229 124.1405 16.49948579974443	n_00388	
1 00398U 62047  B 83010.12636880  .15965597 +53050-4 +24273-2 0  9999	2 00398 058.2421 145.5088 0007825 323.5562 036.5054 16.33506004092667	n_00398	
1   399U 62047C   19010.96904726  .05866066  10973-4  70407-3 0  9996	2  399 58.3746 176.1198 0007011 322.3936 178.7278 16.35768467 45086	n_00399	
1 00400U 62047  D 89094.84579190  .13175818 +53300-4 +14250-2 0  9999	2 00400 058.1546 300.9235 0008659 235.8675 131.0387 16.36652401444358	n_00400	
1 00401U 61015 EA 89024.41582109  .20373346 +00000-0 +34562-1 0  9990	2 00401 066.9965 028.9924 0013592 069.7845 282.0666 15.77868763422502	n_00401	
1 00411U 61015 EL 78055.63693115  .00105615 +00000-0 +00000-0 0  9996	2 00411 066.8786 121.2659 0038344 269.6647 089.7537 15.10819817878651	n_00411	
1 00412U 61015 EM 80177.81138427  .04871713 +00000-0 +10223-1 0  9997	2 00412 067.1808 267.6137 0032813 237.8164 122.0125 15.89212332969440	n_00412	
1 00413U 61015 EN 89335.75708903  .83885717 +00000-0 +48686-1 0  9998	2 00413 066.4421 351.9471 0013686 049.5398 310.5234 15.81394886452142	n_00413	
1 00415U 61015 EQ 89146.82291716 -.23935959 +3387001 +14842-1 0  9994	2 00415 067.6198 285.5497 0030350 282.7655 077.0052 16.02868316450792	n_00415	
1 00418U 61015 ET 91309.25920349  .19740877 +27999-4 +47189-2 0  9996	2 00418 067.6333 262.7827 0009518 141.7035 219.6628 16.29114171592307	n_00418	
1 00419U 61015EU  14342.88444125  .10502162  38170+0  44999-1 0  9998	2 00419 066.8388 251.2575 0028143 171.4803 188.6863 15.94639322719904	n_00419	
1 00421U 61015 EW 84273.51273829  .00989386 +00000-0 +58098-2 0  9996	2 00421 066.6830 262.8098 0009287 255.7106 104.3028 15.75285563196231	n_00421	
1 00462U 61015EY  01090.97698689 +.09331192 +18615-0 +33183-1 0  9995	2 00462 067.5494 292.6767 0012757 286.9862 078.4969 15.95351679063745	n_00462	
1 00464U 61015 FA 89351.94463817 -.67353452 +9842001 +16392-1 0  9996	2 00464 067.5743 134.7559 0009622 052.7775 306.3333 16.12885235485665	n_00464	
1 00466U 61015 FC 88331.45768048  .17294205 +30600-4 +30364-2 0  9995	2 00466 066.7275 102.7408 0007230 102.2313 259.3855 16.32376518451703	n_00466	
1 00468U 61015 FE 81337.14458554  .46737014 +00000-0 +58268-1 0  9991	2 00468 066.5624 248.3326 0024770 155.8660 204.3680 15.81452330043280	n_00468	
1 00471U 61015FH  07214.82528601 +.06399554 +61901-5 +34680-2 0  9997	2 00471 066.7851 342.7332 0021168 304.3141 055.6068 16.18836707396112	n_00471	
1 00472U 61015FJ  03116.34862580  .17028133  62475-5  61810-2 0  9995	2 00472 066.6957 059.6737 0010634 239.4619 120.6582 16.24300602177765	n_00472	
1 00476U 61015FN  14092.44605734  .00229013  00000-0  86311-4 0  9999	2 00476 067.0093 056.9552 0020394 182.8530 177.3099 16.23388613723785	n_00476	
