tle_0	tle_1	norad_cat_num	status
1 09601U 76120  A 91243.55481480  .02084589 +33277-4 +63512-3 0  9998	2 09601 065.7930 290.8757 0016232 276.0595 085.0638 16.26104922813986	n_09601	
1 09604U 76120  B 84356.60311098  .14611254 +29943-4 +56555-3 0  9993	2 09604 065.7976 173.2371 0007449 256.2039 103.5583 16.43427817446424	n_09604	
1 09605U 76120  C 81305.32969931  .17630278 +00505-5 +04409-4 0  9995	2 09605 065.7742 271.3229 0005789 014.2188 345.9198 16.43894577269732	n_09605	
1 09615U 76124  A 79285.66384860  .24256203 +08581-6 +04376-3 0  9998	2 09615 065.8169 184.8544 0007320 241.3080 118.6983 16.21100807158266	n_09615	
1 09616U 75004 FR 81284.60860654  .00404055 +00000-0 +34822-1 0  9994	2 09616 098.1527 156.5525 0049953 274.0521 085.6228 14.96355327342438	n_09616	
1 09617U 75004FS  13161.51442328  .13113239  27537-5  40782-3 0  9996	2 09617 097.5219 067.2548 0006368 235.8922 210.6987 16.44638812 46066	n_09617	
1 09618U 75004 FT 78271.58726447  .00018826 +00000-0 +39532-2 0  9997	2 09618 098.3056 306.1359 0150275 307.3069 051.4459 14.52833323190655	n_09618	
1 09620U 75004 FV 91121.43314435  .10505276 +90000-5 +29151-2 0  9994	2 09620 097.8288 302.4325 0012347 318.8654 038.1848 16.27714572862091	n_09620	
1 09621U 75004 FW 88152.29666235  .09374310 +92000-5 +31292-2 0  9999	2 09621 098.0658 282.2609 0018528 275.3769 094.0990 16.25295490718828	n_09621	
1 09622U 75004 FX 78272.92143043  .00145721 +00000-0 +00000-0 0  9997	2 09622 097.7537 256.4210 0148739 113.7772 248.9711 14.97357863193164	n_09622	
1 09624U 76123  C 76352.70134001  .00084673 +00000-0 +00000-0 0  9997	2 09624 065.0261 263.6247 0122885 067.3276 294.0786 16.08526611000057	n_09624	
1 09625U 76124  B 79247.21888593  .03213050 +29303-4 +12056-3 0  9997	2 09625 065.8215 298.4106 0010320 290.9498 069.0586 16.28844214152561	n_09625	
1 09627U 76125  A 79028.57465962  .00197715 +00000-0 +00000-0 0  9995	2 09627 096.9091 097.2004 0012748 238.0440 122.0325 15.71436008120198	n_09627	
1 09628U 76125  B 77128.87053703  .04950221 +00000-0 +00000-0 0  9997	2 09628 096.8831 199.6186 0009572 315.2371 045.6462 16.43304062022142	n_09628	
1 09629U 76125  C 76359.15247499  .02202100 +00000-0 +00000-0 0  9995	2 09629 096.9815 063.1937 0141976 147.4693 213.5367 15.73659134000671	n_09629	
1 09630U 76125  D 76361.69010694  .00316054 +00000-0 +00000-0 0  9996	2 09630 096.8653 065.7794 0157712 143.2574 217.9575 15.74709225001081	n_09630	
1 09631U 76104  C 77034.19440546  .02234829 +00000-0 +00000-0 0  9991	2 09631 064.9483 292.2702 0000880 272.3818 089.8349 16.39726830016830	n_09631	
1 09635U 76127  A 90036.94900654  .01780754 -42100-4 +45987-3 0  9991	2 09635 062.3562 152.0785 6885854 255.2535 025.2457 02.89994479100409	n_09635	
1 09636U 76127  B 77074.40154753  .04722018 +00000-0 +00000-0 0  9995	2 09636 062.8092 213.2144 0023419 119.3982 242.4503 16.33731461012189	n_09636	
1 09641U 76127  C 77045.76716531  .04388958 +00000-0 +00000-0 0  9997	2 09641 062.8301 321.5713 0046935 118.0659 242.4096 16.30780029007663	n_09641	
1 09642U 76127  D 77045.65893022  .01178543 +00000-0 +00000-0 0  9991	2 09642 062.8128 324.2667 0111474 120.5025 240.7139 16.02423096007605	n_09642	
1 09647U 76127  E 87266.69999998  .09264457 +26455-4 +16499-2 0  9990	2 09647 063.9790 358.3040 6719814 242.3110 351.7500 03.13839375000120	n_09647	
1 09657U 76126  P 91005.51038442  .08097827 +00000-0 +48700-1 0  9992	2 09657 065.6689 013.3915 0009904 282.8973 076.7723 15.83054316678786	n_09657	
1 09665U 76075  F 78121.33008907  .00474953 +00000-0 +00000-0 0  9992	2 09665 073.9605 082.0214 0015723 235.4933 124.4750 15.59831905098312	n_09665	
1 09667U 70025NL  99236.09668245  .00000585  00000-0  11568-2 0  9992	2 09667 100.5240 180.0064 0049242 060.2859 295.5737 13.39875109424310	n_09667	
1 09669U 72058 HK 78281.19244953  .00044856 +00000-0 +00000-0 0  9992	2 09669 098.8694 354.4304 0052538 258.2071 101.3189 14.75053929327265	n_09669	
1 09670U 72058 HL 77227.19215528  .00026617 +00000-0 +00000-0 0  9994	2 09670 098.9286 285.6736 0133028 130.0240 235.9444 14.52750469265793	n_09670	
1 09671U 72058 HM 79295.12486208  .00090930 +00000-0 +04712-2 0  9995	2 09671 098.2793 343.0066 0105505 192.1128 167.7537 14.67638493381295	n_09671	
1 09672U 72058 HN 78003.83008088  .00070999 +00000-0 +00000-0 0  9993	2 09672 099.5735 138.9765 0088969 037.3006 323.4303 15.16707545288065	n_09672	
1 09673U 72058 HP 79038.77776578  .00160480 +00000-0 +11123-1 0  9996	2 09673 098.5941 118.3640 0067371 180.7282 179.3803 15.03047648076246	n_09673	
1 09675U 72058 HR 79082.51745240  .00084742 +00000-0 +13531-1 0  9992	2 09675 097.9964 082.8483 0122945 071.5858 289.8618 14.66471331350582	n_09675	
1 09676U 72058 HS 81205.42491713  .03903592 +02488-6 +08097-3 0  9993	2 09676 098.9240 075.7013 0008736 236.6124 123.4315 16.02040100478735	n_09676	
1 09677U 75004 FY 81055.83573334  .00087063 +00000-0 +93543-2 0  9990	2 09677 098.1838 010.5910 0025204 042.2717 318.1981 14.88360605266703	n_09677	
1 09678U 75004 FZ 79114.83011775 -.01459832 +00000-0 +00000-0 0  9993	2 09678 097.9765 069.6843 0026591 137.0691 222.0008 14.74543468169568	n_09678	
1 09679U 75004 GA 90262.72074236  .04580432 +22000-5 +31208-2 0  9998	2 09679 098.1729 339.7191 0010786 271.3031 087.2748 16.16531077785059	n_09679	
1 09680U 75004 GB 79195.30528294  .00002431 +00000-0 +69923-3 0  9995	2 09680 097.9785 134.3755 0033845 268.5106 090.5004 14.44841139180926	n_09680	
1 09682U 75004 GD 92015.20685227  .06334119 +54005-5 +27177-2 0  9992	2 09682 098.3233 029.7782 0010617 105.7651 257.4855 16.22610676848395	n_09682	
1 09683U 75004 GE 81100.82995307  .00155963 +00000-0 +10388-1 0  9995	2 09683 097.9154 060.2920 0064084 159.4908 200.9804 15.05407359044550	n_09683	
1 09684U 75004 GF 79005.17262586  .00093355 +00000-0 +00000-0 0  9996	2 09684 096.6560 243.8048 0088152 080.8685 280.2463 15.23039794157235	n_09684	
1 09685U 75004GG  86184.66271832  .00503081 +00000-0 +12934-2 0  9994	2 09685 098.7126 241.3096 0009934 224.0803 135.8647 15.94080261562881	n_09685	
1 09686U 75004 GH 78101.21446488  .00059323 +00000-0 +02382-2 0  9998	2 09686 097.3639 006.2293 0151579 356.5312 003.4758 14.24883842113548	n_09686	
1 09687U 75004 GJ 79302.02407525  .00047270 +00000-0 +07446-3 0  9996	2 09687 098.1662 320.4866 0080516 054.9960 305.8776 14.81221199198918	n_09687	
1 09688U 75004 GK 80252.49370002  .03162242 +00000-0 +12768-1 0  9994	2 09688 098.1305 260.0195 0014544 159.4536 200.7320 15.86099027241696	n_09688	
1 09689U 75004 GL 90254.72533389  .06837498 +10500-4 +28130-2 0  9999	2 09689 098.3117 331.7747 0014346 266.2096 093.6085 16.22994232778928	n_09689	
1 09690U 75004 GM 78160.52099046  .00284460 +00000-0 +00000-0 0  9991	2 09690 097.6372 163.9543 0083127 057.3311 276.1896 15.47397137126445	n_09690	
1 09691U 75004 GN 78149.99581633  .00508813 +00000-0 +00000-0 0  9999	2 09691 097.6177 153.4055 0048403 090.8984 269.7765 15.58683491124924	n_09691	
1 09692U 69029 AP 78124.08557580  .00882413 +00000-0 +00000-0 0  9998	2 09692 081.1854 355.5931 0054456 110.2942 265.6595 15.56195450399447	n_09692	
1 09693U 75109  H 77238.33988812  .00481392 +00000-0 +00000-0 0  9995	2 09693 074.0421 070.7290 0009313 219.4176 140.6324 15.80614623098595	n_09693	
1 09694U 63014 DE 77346.20966847  .00004039 +00000-0 +11591-1 0  9995	2 09694 084.4244 058.8813 2790141 323.7354 020.2732 08.88729997357479	n_09694	
1 09698U 74089DX  04318.82435188  .18387926  00000-0  79465-1 0  9991	2 09698 101.7534 166.2724 0019632 042.4293 209.5997 15.78357026429334	n_09698	
1 09700U 73086 FY 79287.33517229  .00642570 +00000-0 +07502-1 0  9994	2 09700 101.9153 174.3067 0297025 013.6291 347.2838 13.88635254147566	n_09700	
1 09705U 75004 GP 78086.55305610  .00381651 +00000-0 +00000-0 0  9995	2 09705 098.2305 148.2007 0109646 051.6716 309.4278 15.55458546115596	n_09705	
1 09706U 75004 GQ 78303.64007101  .00332092 +00000-0 +00000-0 0  9997	2 09706 097.7584 318.4783 0056483 295.2955 064.2400 15.52981237148069	n_09706	
1 09707U 75004 GR 79312.21147899  .00676795 +00000-0 +76951-1 0  9991	2 09707 097.6809 154.0085 0054604 141.1165 214.5452 14.85179409194910	n_09707	
1 09708U 75004 GS 79117.57331459  .04889302 +00000-0 +80579-1 0  9996	2 09708 097.6137 343.3455 0022354 309.1298 045.3130 15.35306103167652	n_09708	
1 09709U 75004 GT 78025.99599620  .00234560 +00000-0 +00000-0 0  9992	2 09709 097.6616 043.5844 0078128 112.7070 248.2416 15.58351350106824	n_09709	
1 09711U 75004GV  02295.47284196  .10162386  28640-5  47068-2 0  9992	2 09711 098.0263 303.1115 0009157 213.6666 146.4032 16.21694782421063	n_09711	
1 09712U 75004 GW 78100.43746050  .00044682 +00000-0 +00000-0 0  9994	2 09712 097.7970 079.7614 0070811 079.0272 281.8841 14.72159767115657	n_09712	
1 09713U 75004 GX 78100.54412488  .00387625 +00000-0 +00000-0 0  9999	2 09713 099.0283 312.5124 0077221 336.7118 023.4044 15.35116768117806	n_09713	
1 09714U 75004 GY 78294.72297408  .00135346 +00000-0 +00000-0 0  9998	2 09714 097.5835 213.5557 0036633 073.5619 286.9552 14.58786412142358	n_09714	
1 09715U 75004 GZ 79041.28683513  .00061037 +00000-0 +00000-0 0  9992	2 09715 097.5528 337.9403 0128412 081.9032 279.6678 14.84773366160450	n_09715	
1 09716U 75004 HA 77298.39100702  .00380550 +00000-0 +00000-0 0  9995	2 09716 097.3292 280.0679 0099843 181.9080 178.1756 15.55966222092536	n_09716	
1 09717U 75004 HB 79040.50000220  .00039914 +00000-0 +00000-0 0  9995	2 09717 098.2730 052.4071 0038208 299.3702 060.3638 14.69183846069682	n_09717	
1 09718U 76075  G 78048.01261365  .00288081 +00000-0 +00000-0 0  9998	2 09718 074.0949 273.8877 0005508 092.2717 267.9082 15.57663193086901	n_09718	
1 09719U 76126  Q 78122.74392211  .00682668 +00000-0 +00000-0 0  9993	2 09719 065.8886 234.8082 0824991 190.4363 167.8593 14.03536987065630	n_09719	
1 09720U 76126  R 81282.57976996  .06536499 +64303-5 +79579-2 0  9991	2 09720 065.7102 027.5412 0069756 304.9887 053.9233 16.02719974069370	n_09720	
1 09725U 76126  W 92356.12125027  .09786451 +88000-5 +54746-2 0  9999	2 09725 065.6893 258.7016 0024044 194.4110 164.8437 16.18215287788282	n_09725	
1 09727U 72058HT  02294.57849885  .19057783  32218-5  26653-2 0  9993	2 09727 098.2776 166.9046 0008471 171.8631 188.2635 16.34977955210557	n_09727	
1 09728U 72058 HU 78343.17090236  .00036687 +00000-0 +00000-0 0  9991	2 09728 097.8484 336.1699 0073268 327.2595 032.4034 14.74174092336427	n_09728	
1 09729U 72058 HV 77106.55632637  .01893831 +00000-0 +00000-0 0  9990	2 09729 099.0230 154.7774 0000816 140.4985 231.2418 15.48530197248988	n_09729	
1 09731U 76001  E 77300.09383495  .00104354 +00000-0 +00000-0 0  9999	2 09731 073.9522 182.9716 0016150 273.2107 086.7205 15.46659016100900	n_09731	
1 09735U 77003  A 77032.01103743  .00094333 +00000-0 +00000-0 0  9991	2 09735 071.3753 259.3562 0091302 037.6897 323.0625 16.05102921001873	n_09735	
1 09736U 77003  B 77031.98529440  .04032417 +00000-0 +00000-0 0  9992	2 09736 071.3684 258.8742 0013363 026.4365 333.7503 16.35427475001889	n_09736	
1 09784U 70025 NN 89327.74740394  .69239563 +00000-0 +62088-1 0  9997	2 09784 099.9496 055.7850 0031963 295.9824 063.7655 15.81352102673519	n_09784	
1 09787U 77005  C 81036.72769302  .23101754 -44434-4 +73916-3 0  9990	2 09787 026.3477 163.3103 0594836 111.3455 255.9271 15.12212600026788	n_09787	
1 09788U 72058 HW 78067.01361896  .00011351 +00000-0 +08849-3 0  9999	2 09788 097.9951 090.3085 0188961 135.9203 225.7188 14.59259510295791	n_09788	
1 09789U 76075  H 78031.45677196  .00132692 +00000-0 +31373-2 0  9994	2 09789 074.0145 309.6571 0024619 144.5026 215.7777 15.40954550084210	n_09789	
1 09794U 70102F   98356.55699366  .08486222  17817+0  21052-1 0  9995	2 09794 074.0081 038.5026 0007237 295.6166 064.4717 16.02343201445654	n_09794	
1 09800U 71120  E 84111.41312015  .07255665 +00000-0 +20944-1 0  9996	2 09800 081.1907 132.2629 0015104 224.0911 136.1965 15.92772224639976	n_09800	
1 09801U 77006  A 81035.03658626  .42734962 +31229-4 +22019-3 0  9996	2 09801 065.8063 277.0833 0009736 290.3240 069.6802 16.54565153225105	n_09801	
1 09802U 77006  B 79352.99223099  .16696978 +31705-4 +54912-4 0  9995	2 09802 065.7923 172.4013 0005789 246.7344 114.2255 16.59030332161392	n_09802	
1 09815U 76126AB  99277.38914462 +.22628419 +69933-5 +32683-2 0  9999	2 09815 065.7338 023.2115 0012091 264.2995 097.8669 16.34084403142141	n_09815	
1 09817U 76126 AD 81302.26125948  .00092835 +00000-0 +41374-1 0  9995	2 09817 065.8165 188.7600 0827830 037.7546 327.8707 13.14263703010632	n_09817	
1 09825U 76126 AM 82070.74878603  .13706622 +39464-5 +24156-1 0  9993	2 09825 065.7545 200.9319 0051536 284.5535 065.5586 15.99011471252523	n_09825	
1 09828U 76126AQ  02005.42062268  .08238198  15575+0  16074-1 0  9996	2 09828 065.7446 116.7098 0024002 049.0430 311.2937 16.04955113 89605	n_09828	
1 09833U 77011  A 84280.36474421  .14242836 +62081-5 +19285-3 0  9992	2 09833 073.8653 069.9701 0022149 268.3650 092.1122 16.47317954080593	n_09833	
1 09836U 76031  C 77266.51443730  .00234964 +00000-0 +34788-2 0  9998	2 09836 074.0435 208.0190 0028844 153.3443 206.9214 15.53939578081604	n_09836	
1 09840U 65082 UJ 77236.63630963  .00106388 +00000-0 +00000-0 0  9999	2 09840 031.0188 020.2871 1074738 242.4813 106.2554 13.43854840913969	n_09840	
1 09842U 77012  B 79078.97394387  .05782719 +00000-0 +00000-0 0  9990	2 09842 065.4508 295.5628 0013410 110.4007 252.2413 16.31816292115647	n_09842	
1 09844U 77012  D 78120.33937205  .00548362 +00000-0 +00000-0 0  9990	2 09844 064.9401 235.2762 0096623 329.9266 029.6315 15.80363178066045	n_09844	
1 09853U 77015  A 92080.59065608  .02451355 -29000-5 +10252-2 0  9997	2 09853 081.1418 002.0280 0006846 160.2199 200.0493 16.23024511826216	n_09853	
1 09854U 77015B   00045.17118883 +.15398313 -10387-5 +18188-3 0  9999	2 09854 081.1136 196.5991 0008469 283.0541 131.1573 16.49800369266672	n_09854	
1 09859U 77014  B 92263.91559986  .10757118 -73900-4 +33024-3 0  9993	2 09859 023.4210 137.7261 0194355 116.6920 258.6480 16.06873119229697	n_09859	
1  9864U 77018B   19161.23057561  .27131888 -14864-4  34897-3 0  9997	2 9864 24.2888 339.9274 0053781 179.9719 354.0489 16.42450635674618	n_09864	
1 09883U 77022  A 80292.33563812  .04827415 +52253-5 +15555-3 0  9995	2 09883 074.0245 272.2563 0004911 246.1931 123.6419 16.31553962199309	n_09883	
1 09884U 77022  B 80357.97214765  .01998935 +48765-5 +65909-4 0  9993	2 09884 074.0200 124.4577 0007161 297.8355 062.2797 16.31163968209589	n_09884	
1 09889U 76105F   14149.81340938  .99999999  13489-4  37388-2 0  9990	2 09889 061.7964 133.7477 0698387 056.4813 013.1353 14.93819433151704	n_09889	
1 09891U 76105  H 93080.71758333  .00000549 +00000-0 +99999-4 0  9990	2 09891 064.2568 248.2261 7341167 182.4789 169.2787 02.00377089006690	n_09891	
1 09892U 76105J   10302.48557030 -.00001214  00000-0  10000-3 0  9998	2 09892 065.3744 328.0481 6973735 050.8473 352.8329 02.00745170133771	n_09892	
1 09894U 76105L   78216.93522145 -.00001078 +00000-0 +10000-3 0  9995	2 09894 063.8661 025.7638 7350199 325.1757 003.6325 02.04965592013080	n_09894	
1 09898U 77023  A 79284.54277562  .11088532 +00771-5 +05444-4 0  9990	2 09898 082.9134 027.1616 0015761 244.9362 115.0694 16.43340302142432	n_09898	
1 09899U 77023  B 79248.64164510  .02904852 -10342-4 +99964-4 0  9997	2 09899 082.9232 059.2514 0006169 280.9511 079.2981 16.30641196137113	n_09899	
1 09900U 77022  C 78064.23773604  .00491435 +00000-0 +00000-0 0  9999	2 09900 074.0694 152.7801 0015901 267.9597 091.9750 15.59163094052758	n_09900	
1 09905U 77025  A 78178.87620797  .05282675 +05186-2 +05560-4 0  9998	2 09905 070.9568 288.1649 0032012 319.3365 040.5429 16.34797096068826	n_09905	
1 09906U 77025  B 78083.76722858  .06946714 +00000-0 +00000-0 0  9993	2 09906 070.9268 168.6522 0006465 228.5087 131.5545 16.38085175054277	n_09906	
1 09911U 77027A   14216.18271355  .99999999  14264-4  46478-2 0  9993	2 09911 062.3315 078.6570 0644795 048.8750 102.5507 15.05809407273913	n_09911	
1 09917U 76124  J 77298.00052103  .00849725 +00000-0 +00000-0 0  9995	2 09917 065.8196 333.3017 0000000 026.6983 011.1812 15.76742596047802	n_09917	
1 09933U 77029  C 89350.92373940  .23924784 +56657-4 +78878-3 0  9994	2 09933 025.8909 255.1951 0051901 005.2341 354.9551 16.37357089371897	n_09933	
1 09938U 77031  A 80080.07768703  .01636337 +13593-4 +10642-3 0  9991	2 09938 050.6310 334.0194 0011618 244.9624 115.1165 16.18956828162933	n_09938	
1 09948U 75004 HC 85059.91335765  .07222018 +00000-0 +48694-1 0  9996	2 09948 101.0821 042.0181 0027207 140.0627 229.2739 15.74462049113426	n_09948	
1 09949U 75004 HD 81299.23344528  .05981583 +15116-5 +43107-2 0  9992	2 09949 097.2906 197.0596 0009759 103.5668 256.6709 16.15787090306460	n_09949	
1 09950U 75004 HE 78320.88677629  .00053122 +00000-0 +00000-0 0  9995	2 09950 096.2624 087.9850 0150216 028.0676 332.8468 14.43205404142272	n_09950	
1 09952U 76126 AS 79133.81263422  .00055310 +00000-0 +00000-0 0  9992	2 09952 065.8420 270.0022 1018826 053.1358 315.8724 12.96189213110033	n_09952	
1 09957U 76126AX  14215.23902333  .66531485  63708-5  33728-1 0  9991	2 09957 065.6957 165.8616 0027462 209.6839 266.6017 16.19243024629468	n_09957	
1 09959U 76126 AZ 78081.40571556  .00063578 +00000-0 +03088-2 0  9991	2 09959 065.8125 095.4569 1143075 234.9333 113.9177 12.61434650056380	n_09959	
1 09967U 76126 BH 91064.59836896  .16781211 +37000-5 +24194-1 0  9990	2 09967 065.7071 140.6421 0017281 107.8142 252.3916 16.04693461697638	n_09967	
1 09968U 61015KQ  01072.02431431  .07914675  16452+0  14022-1 0  9999	2 09968 066.4764 040.8257 0011846 186.7491 173.3484 16.07535150352530	n_09968	
1 09969U 61015 KR 77346.16877371  .00099865 +00000-0 +00000-0 0  9990	2 09969 065.1909 246.6546 0075785 112.2927 248.6165 14.17126535134144	n_09969	
1 09970U 72058 HX 79036.28372908  .00011761 +00000-0 +35649-2 0  9996	2 09970 098.4416 057.2636 0241680 054.3491 307.9887 14.26955309072550	n_09970	
1 09971U 72058 HY 89318.81032181  .01273386 +00000-0 +63668-2 0  9992	2 09971 098.2515 066.9477 0015957 239.7570 120.4817 15.81545093420478	n_09971	
1 09972U 72058 HZ 79052.21886628  .00079352 +00000-0 +00000-0 0  9999	2 09972 098.9068 137.6370 0053780 216.0020 143.7507 14.72606277346709	n_09972	
1 09974U 68097DW  98364.33498489  .06755191  24314+0  10503-1 0  9994	2 09974 062.1273 344.6248 0028284 101.7448 262.5029 16.12231151954830	n_09974	
1  9980U 77032D   17111.91958458 +.24615883 +82195-5 +23313-3 0  9997	2 9980 062.1890 242.9259 0372801 275.7031 221.2903 15.75096306178022	n_09980	
1 09990U 76031  D 77364.08112227  .00177900 +00000-0 +00000-0 0  9998	2 09990 073.9743 004.1580 0019607 306.5731 053.3631 15.59640717096481	n_09990	
1 09991U 76115  D 78099.35413413  .00528311 +00000-0 +00000-0 0  9995	2 09991 073.9674 076.2497 0020935 188.2232 171.8598 15.62903881075178	n_09991	
1 09992U 76115  E 78130.92549634  .00363253 +00000-0 +00000-0 0  9992	2 09992 073.9665 284.5873 0042125 310.8146 051.2685 15.40467262079944	n_09992	
1 09993U 76115  F 80057.46096542  .00652822 +58010-6 +90004-3 0  9997	2 09993 073.9421 190.9192 0006928 271.6989 088.3797 16.05902921183386	n_09993	
1 09994U 75109  J 78003.33111400  .00313847 +00000-0 +00000-0 0  9990	2 09994 074.0089 127.6724 0017272 341.1975 018.9169 15.60931459118343	n_09994	
1 09995U 75109  K 83035.67945169  .00000628 +00000-0 +06897-4 0  9990	2 09995 074.0585 264.1669 0021876 177.3507 182.7646 14.24973297150896	n_09995	
1 10028U 77042  A 79363.28361950  .04504583 +55036-5 +11372-3 0  9993	2 10028 074.0063 005.1873 0004006 279.5931 087.8248 16.35276923144801	n_10028	
1 10029U 77042  B 79306.47668005  .15571778 +55294-5 +18286-3 0  9992	2 10029 073.9963 120.0034 0008804 271.6790 088.3646 16.45573257136351	n_10029	
1 10049U 76063  E 78085.71515950  .00655045 +00000-0 +00000-0 0  9992	2 10049 064.5825 170.9984 0046327 034.7883 024.7734 15.70021915097216	n_10049	
1 10052U 76063  H 78053.65998957  .00191790 +00000-0 +00000-0 0  9998	2 10052 064.5571 270.3713 0025926 072.6441 287.7486 15.54854298092441	n_10052	
1 10054U 76063  K 78215.13096587  .02175433 +00000-0 +10448-2 0  9998	2 10054 065.0027 068.4883 0019566 257.2222 103.8752 16.17667615118077	n_10054	
1 10064U 77049  A 79172.80173087  .10114836 +00000-0 +00000-0 0  9992	2 10064 050.6163 197.8686 0000000 162.1314 205.9191 16.38814354113125	n_10064	
1 10069U 77049  B 80034.64144568  .02393932 +53559-4 +94452-4 0  9996	2 10069 050.6447 127.4745 0005239 286.4389 073.6105 16.27715056148312	n_10069	
1 10070U 77051  A 78239.72166669  .03058092 +48286-0 +71468-3 0  9994	2 10070 070.9866 031.6316 0020727 331.6733 031.4781 16.40988891066921	n_10070	
1 10071U 77051  B 78110.59195036  .03266762 +00000-0 +00000-0 0  9996	2 10071 070.9657 001.6071 0033173 240.2888 119.4997 16.38774490047087	n_10071	
1 10076U 76063  Q 78004.56932194  .00247740 +00000-0 +00000-0 0  9998	2 10076 064.8542 071.0363 0014708 050.3766 309.8636 15.71301476085139	n_10076	
1 10080U 76063  U 78255.59456526  .00672981 +00000-0 +00000-0 0  9993	2 10080 064.9679 287.4576 0010688 236.4433 154.7524 16.11981134124379	n_10080	
1 10092U 77054  A 93140.07984035  .12460091 +37600-4 +64292-3 0  9997	2 10092 062.6100 079.3906 0191525 282.6681 075.3775 16.20932096049903	n_10092	
1 10097U 76063  Y 77346.82493031  .00126496 +00000-0 +11532-2 0  9998	2 10097 065.0490 142.3014 0014390 251.7370 108.2169 15.67126214081797	n_10097	
1 10103U 76063 AE 78139.66214139  .00225486 +00000-0 +04740-3 0  9992	2 10103 065.0436 329.6251 0009712 262.1233 097.8774 15.74834633106280	n_10103	
1 10104U 76063 AF 78150.86701466  .00412406 +00000-0 +00000-0 0  9994	2 10104 065.0523 286.4914 0018517 268.3289 092.9793 15.93222904108132	n_10104	
1 10110U 76063 AM 78168.65400438  .00090975 +00000-0 +00000-0 0  9995	2 10110 065.1634 245.1552 0012212 319.0078 041.0111 15.70859528020831	n_10110	
1 10113U 77057  A 93240.10051062  .20754187 +76000-5 +37033-3 0  9996	2 10113 097.2894 091.3987 0006581 261.7025 098.7175 16.47529925888031	n_10113	
1 10129U 77060  A 81041.46407227  .11586596 +63455-5 +14209-3 0  9997	2 10129 073.9851 344.0829 0006142 247.8942 112.1668 16.45093477201214	n_10129	
1 10130U 77060  B 80366.57808963  .00479773 +00000-0 +11079-2 0  9991	2 10130 074.0096 070.2853 0003639 267.4322 092.6589 15.97042507195076	n_10130	
1 10131U 77060  C 78047.95848148  .00057203 +00000-0 +00000-0 0  9996	2 10131 073.9835 242.5328 0035750 094.4827 277.4375 15.24243350034497	n_10131	
1 10134U 77061  A 93118.97032275  .08112728 +46122-5 +37215-3 0  9997	2 10134 081.1682 325.1166 0009182 263.3477 096.7608 16.42458844868748	n_10134	
1 10135U 77061B   00137.99257921 +.21171622 -99747-6 +25593-3 0  9998	2 10135 081.1842 219.0125 0014038 252.8273 106.8543 16.49105175260162	n_10135	
1 10149U 77067  A 80132.08950103  .02644132 +06682-6 +00464-4 0  9990	2 10149 073.9825 019.8846 0009009 219.4949 140.5668 16.28203201157821	n_10149	
1 10156U 77065D   86364.46369573  .00026591 +00000-0 +89663-3 0  9996	2 10156 027.1434 094.9387 5153422 338.9001 005.9004 05.46609527115674	n_10156	
1 10157U 77070  A 78302.77630193  .01434095 +00000-0 +00000-0 0  9997	2 10157 065.8181 307.1382 0002980 295.8867 064.1965 16.26118496072939	n_10157	
1 10158U 77070  B 78158.22065228  .07423346 +00000-0 +00000-0 0  9991	2 10158 065.8320 072.9715 0007030 251.5139 113.1192 16.42366982050255	n_10158	
1 10176U 77065  E 78011.30764967  .00095276 +00000-0 +00000-0 0  9998	2 10176 028.2293 017.3170 0836351 184.1556 175.1652 13.85181189024949	n_10176	
1 10179U 77065  H 91044.26996205  .01282897 +00000-0 +63823-1 0  9990	2 10179 027.8275 128.3507 0070998 123.3633 237.8805 15.14418179382390	n_10179	
1 10180U 77065  J 90295.97395238  .11447786 +00000-0 +97064-1 0  9991	2 10180 027.7651 176.3653 0052857 279.0626 095.9826 15.66608748526463	n_10180	
1 10181U 77065K   01200.49351065  .04165862  00000-0  23591-2 0  9996	2 10181 029.9422 257.6159 0068234 061.2575 299.5498 16.12358289 76100	n_10181	
1 10182U 77065  L 80363.95183961  .04136922 +00000-0 +20620-1 0  9997	2 10182 029.6523 240.6476 0073489 345.9203 013.4577 15.76636156034928	n_10182	
1 10185U 77065  P 79025.58953843  .00036770 +00000-0 +00000-0 0  9991	2 10185 029.4082 212.2218 0896544 230.0922 121.7388 13.01280159073802	n_10185	
1 10186U 77065  Q 92025.18502126 -.25144431 +3252800 +98054-2 0  9996	2 10186 029.1050 344.6668 0006284 013.3312 346.7659 16.08446957598872	n_10186	
1 10187U 77065  R 78273.18223817  .00977957 +00000-0 +00000-0 0  9995	2 10187 029.0084 214.0118 0443010 033.6245 351.0912 14.14029330059286	n_10187	
1 10190U 77065  U 89111.17135828  .02700683 +00000-0 +11631-1 0  9990	2 10190 028.9434 356.6293 0050873 341.9646 017.0180 15.81727913429571	n_10190	
1 10192U 77065  W 81220.07143440  .00002599 +00000-0 +05466-4 0  9994	2 10192 029.0521 160.7828 0726255 167.0062 195.0323 13.82202530055655	n_10192	
1 10193U 77065  X 78300.56270719  .00240764 +00000-0 +00000-0 0  9997	2 10193 029.0926 034.2003 0721862 306.1853 047.4004 13.81752100063408	n_10193	
1 10197U 77065 AA 81184.92252502  .00126679 +00000-0 +13551-1 0  9999	2 10197 029.5954 038.5490 0311637 199.5557 159.3581 14.58314601002147	n_10197	
