tle_0	tle_1	lat	lon	norad_cat_num	satellite_name	ownership	launch_date	satellite_decay	satellite_decay_hour	rcs
1 00062U 60014  B 85299.99371213  .22611759 +59541-4 +14030-2 0  9998	2 00062 049.8852 300.2652 0004622 342.1851 017.9663 16.41189261236970	32.29424430156041	75.75907857556909	00062	JUNO II R/B             	US   	1960-11-03	1985-10-27	1985-10-27 22:02:00	  0.6450
1 00062U 60014  B 85299.99371213  .22611759 +59541-4 +14030-2 0  9998	2 00062 049.8852 300.2652 0004622 342.1851 017.9663 16.41189261236970	20.61404196230645	88.45045114785572	00062	JUNO II R/B             	US   	1960-11-03	1985-10-27	1985-10-27 22:06:00	  0.6450
1 00063U 60016A   14137.84158636  .05029428  11996-4  29744-3 0  9998	2 00063 048.4363 277.0735 0002693 070.9689 289.2672 16.41566560916315	-25.654070994257417	-28.957170967443094	00063	TIROS 2                 	US   	1960-11-23	2014-05-18	2014-05-22 01:00:00	  0.8780
1 00063U 60016A   14137.84158636  .05029428  11996-4  29744-3 0  9998	2 00063 048.4363 277.0735 0002693 070.9689 289.2672 16.41566560916315	-19.80213396057245	-22.874559662466577	00063	TIROS 2                 	US   	1960-11-23	2014-05-18	2014-05-22 01:02:00	  0.8780
1 00063U 60016A   14137.84158636  .05029428  11996-4  29744-3 0  9998	2 00063 048.4363 277.0735 0002693 070.9689 289.2672 16.41566560916315	-7.509802383939128	-11.978932615435518	00063	TIROS 2                 	US   	1960-11-23	2014-05-18	2014-05-22 01:06:00	  0.8780
1 00064U 60016  B 81266.64980638  .07532016 +56009-4 +21805-2 0  9996	2 00064 048.4675 356.4796 0009546 002.9809 357.3240 16.26432176126830	3.5604465600729474	101.12340953013998	00064	DELTA 1 R/B             	US   	1960-11-23	1981-09-24	1981-09-27 03:00:00	  0.6288
1 00064U 60016  B 81266.64980638  .07532016 +56009-4 +21805-2 0  9996	2 00064 048.4675 356.4796 0009546 002.9809 357.3240 16.26432176126830	-2.7505656304185595	106.21582782057224	00064	DELTA 1 R/B             	US   	1960-11-23	1981-09-24	1981-09-27 03:02:00	  0.6288
1 00064U 60016  B 81266.64980638  .07532016 +56009-4 +21805-2 0  9996	2 00064 048.4675 356.4796 0009546 002.9809 357.3240 16.26432176126830	-15.228268754569438	116.71847993370662	00064	DELTA 1 R/B             	US   	1960-11-23	1981-09-24	1981-09-27 03:06:00	  0.6288
1 00074U 60016  C 89127.00883376  .02098965 +49187-2 +22120-2 0  9995	2 00074 048.5374 350.7700 0009533 238.7285 120.9850 16.11032606545411	-15.186288704383248	63.146587858006946	00074	DELTA 1 DEB             	US   	1960-11-23	1989-05-10	1989-05-11 15:00:00	  0.1777
1 00074U 60016  C 89127.00883376  .02098965 +49187-2 +22120-2 0  9995	2 00074 048.5374 350.7700 0009533 238.7285 120.9850 16.11032606545411	-21.224170808032643	68.83405905911988	00074	DELTA 1 DEB             	US   	1960-11-23	1989-05-10	1989-05-11 15:02:00	  0.1777
1 00074U 60016  C 89127.00883376  .02098965 +49187-2 +22120-2 0  9995	2 00074 048.5374 350.7700 0009533 238.7285 120.9850 16.11032606545411	-32.45420733192211	81.94807690705773	00074	DELTA 1 DEB             	US   	1960-11-23	1989-05-10	1989-05-11 15:06:00	  0.1777
1 00075U 60016  D 90023.65502152  .03695442 +15733-4 +16800-2 0  9998	2 00075 048.5003 110.5790 0012245 332.5609 027.6347 16.20974718995668	10.007744289838069	-30.96680045146302	00075	DELTA 1 DEB             	US   	1960-11-23	1990-01-25	1990-01-31 09:00:00	  0.2325
